,unlockNext,star_0,star_1,star_2
lvl_376,0,0,80000,180000
lvl_377,0,0,104000,184000
lvl_378,0,0,80000,180000
lvl_379,0,0,128000,188000
lvl_380,0,0,128000,188000
lvl_381,0,0,152000,192000
lvl_382,0,0,104000,184000
lvl_383,0,0,128000,188000
lvl_384,0,0,128000,188000
lvl_385,0,0,128000,188000
lvl_386,0,0,128000,188000
lvl_387,0,0,56000,176000
lvl_388,0,0,152000,192000
lvl_389,0,0,152000,192000
lvl_390,0,0,128000,188000
lvl_391,0,0,128000,188000
lvl_392,0,0,128000,188000
lvl_393,0,0,128000,188000
lvl_394,0,0,104000,184000
lvl_395,0,0,104000,184000
lvl_396,0,0,152000,192000
lvl_397,0,0,128000,188000
lvl_398,0,0,104000,184000
lvl_399,0,0,128000,188000
lvl_400,0,0,128000,188000
